,Description,Target
175,"Ford Motor Co  will gradually resume operations and production at several of its Mexican plants, the automaker said on Wednesday, as the sector begins to come back online as coronavirus contingencies are relaxed.",positive
176,"In the week since U.S. auto factories reopened after coronavirus lockdowns, workers at all three Detroit automakers have tested positive for COVID-19 but only Ford Motor Co has temporarily closed plants.",negative
177,"U.S. applications for home mortgages jumped last week, in a sixth straight weekly increase, suggesting the housing market could lead the economy's recovery from the novel coronavirus crisis even as high unemployment is expected to linger.",positive
178,Goldman Sachs Group Inc  President and Chief Operating Officer John Waldron said Wednesday that the bank remains on track to achieve its medium and long term growth targets despite the economic shocks caused by the novel coronavirus.,positive
179,Hershey Co  said on Wednesday sales of gums and mints have taken a hit as social distancing protocols spurred by the COVID-19 pandemic discouraged people from participating in gatherings.,negative
180,"Sari Baldauf took over as chairwoman of telecoms equipment maker Nokia  on Wednesday, succeeding Risto Siilasmaa who chaired the Finnish firm for eight years.",neutral
181,"Milan's Arbitral Tribunal has judged that the 2013 sale of RCS'  headquarters to Blackstone Group  was valid but found that the purchaser's behaviour may entitle the Italian publisher to compensatory damages, RCS said late on Tuesday.",neutral
182,Ralph Lauren Corp said on Wednesday a surge in online shopping was helping it get back on track in China and putting it on course for a recovery from the financial damage wrought by the COVID-19 lockdowns in other markets as well.,positive
183,Tesla Inc  has cut prices of its electric vehicles by as much as 6% in North America following a decline in auto demand in the region during weeks of lockdown that have now started to ease.,neutral
184,"Renault , Nissan Motor Co  and Mitsubishi Motors Corp  ruled out a merger on Wednesday and doubled down on a plan to cooperate more closely on car production to save costs and salvage their troubled alliance.",neutral
185,"German Economy Minister Peter Altmaier said on Wednesday he expected the European Commission to approve a 9-billion euro bailout of flagship carrier Lufthansa, adding that it was also in Europe's interests to avoid a sell-off of such companies.",positive
186,"The automaking alliance of Renault SA , Nissan Motor Co  and Mitsubishi Motors Corp  outlined a new strategy on Wednesday whereby the strongest partner takes the lead in areas such as new technologies and parts procurement.",neutral
187,"The Americas will bear the brunt of an estimated 305 million job losses that the COVID-19 pandemic will cause worldwide between April and June, the International Labour Organization (ILO) said on Wednesday.",negative
188,"Ryanair  expects Britain to join other European nations in dropping COVID-19 quarantine plans in the coming weeks, its CEO told Reuters on Wednesday, as he reported a ""big surge"" in holiday bookings from the country.",positive
189,"LATAM Airlines Group , the continent's largest carrier, filed for U.S. bankruptcy protection on Tuesday, becoming the world's largest carrier so far to seek an emergency reorganization due to the coronavirus pandemic.",negative
190,"Renault SA , Nissan Motor Co  and Mitsubishi Motors have no plans to merge and will instead focus on a new production sharing plan to cut costs and improve efficiency, Chairman Jean-Dominique Senard said on Wednesday.",neutral
191,"Renault SA, Nissan Motor Co and Mitsubishi Motors Corp on Wednesday announced details of a new strategy plan pledging to deepen cooperation in developing and producing cars to survive as an automaking group.",neutral
192,"Volkswagen AG  is in final talks to seal its largest investment deals with Chinese electric vehicle (EV) firms, two sources said, as the German automaker accelerates its push into the world's largest market for environmentally friendlier cars.",positive
193,"National Oilwell Varco Inc (NOV) has had a rough few years: Since 2017, the Houston company, whose drilling equipment is in major oilfields worldwide, has lost two-thirds of its value, costing shareholders a combined $9 billion.",negative
194,Hong Kong's exchange is launching derivatives with index provider MSCI in a deal that hurts rival Singapore and boosts its global appeal amid U.S. warnings that Chinese pressure on the city’s autonomy threatens its future as a financial hub.,negative
195,"China's Chery Automobile, which has a manufacturing partnership with Jaguar Land Rover (JLR) , is planning to sell its own-branded cars in the European Union and United States for the first time, its chairman said.",positive
196,"Hugo Boss  expects a recovery in its business in the third quarter at the earliest due to store closures and consumer caution during the coronavirus pandemic, the chief executive of German fashion house said on Wednesday.",positive
